"SurveyID","SST","date","site_code"
923401242,17.98,2022-03-04,"NIN-S1"
923401241,17.98,2022-03-04,"NIN-S1"
923401240,17.98,2022-03-04,"NIN-S1"
923401237,17.98,2022-03-04,"NIN-S1"
923400917,17.83,2022-03-29,"TAS66"
923400770,17.41,2021-04-21,"BI-S3"
923400769,17.41,2021-04-21,"BI-S3"
923400768,17.41,2021-04-21,"BI-S3"
923400767,17.41,2021-04-21,"BI-S3"
923400745,17.7,2021-03-12,"MIR-S14"
923400743,17.7,2021-03-12,"MIR-S14"
923400742,17.7,2021-03-12,"MIR-S14"
923400741,17.7,2021-03-12,"MIR-S14"
923400706,16.45,2021-03-27,"NIN-S1"
923400704,16.45,2021-03-27,"NIN-S1"
923400700,16.45,2021-03-27,"NIN-S1"
923400691,16.45,2021-03-27,"NIN-S1"
923400280,17.92,2021-02-24,"TI-S1"
923400278,17.92,2021-02-24,"TI-S1"
923400275,17.92,2021-02-24,"TI-S1"
923400274,17.92,2021-02-24,"TI-S1"
912354435,16.93,2021-01-08,"TAS120"
912353784,15.25,2020-03-26,"NIN-S1"
912353783,15.25,2020-03-26,"NIN-S1"
912353782,15.25,2020-03-26,"NIN-S1"
912353781,15.25,2020-03-26,"NIN-S1"
912353772,15.83,2020-03-23,"TI-S1"
912353771,15.83,2020-03-23,"TI-S1"
912353770,15.83,2020-03-23,"TI-S1"
912353769,15.83,2020-03-23,"TI-S1"
912353760,16.51,2020-03-20,"MIR-S14"
912353759,16.51,2020-03-20,"MIR-S14"
912353758,16.51,2020-03-20,"MIR-S14"
912353757,16.51,2020-03-20,"MIR-S14"
912353410,17.85,2020-01-18,"TAS79"
912353407,17.85,2020-01-18,"TAS79"
912352847,18.7,2019-01-25,"NIN-S1"
912352846,18.7,2019-01-25,"NIN-S1"
912352827,18.7,2019-01-25,"NIN-S1"
912352826,18.7,2019-01-25,"NIN-S1"
912352837,19.42,2019-01-22,"TI-S1"
912352836,19.42,2019-01-22,"TI-S1"
912352817,19.42,2019-01-22,"TI-S1"
912352816,19.42,2019-01-22,"TI-S1"
912352787,16.44,2019-04-03,"MIR-S14"
912352786,16.44,2019-04-03,"MIR-S14"
912352785,16.44,2019-04-03,"MIR-S14"
912352784,16.44,2019-04-03,"MIR-S14"
912352759,17.3,2019-03-20,"BI-S3"
912352758,17.3,2019-03-20,"BI-S3"
912352757,17.3,2019-03-20,"BI-S3"
912352756,17.3,2019-03-20,"BI-S3"
912352755,17.42,2019-03-21,"BI-S3"
912352754,17.42,2019-03-21,"BI-S3"
912352753,17.42,2019-03-21,"BI-S3"
912352752,17.42,2019-03-21,"BI-S3"
912352227,12.3,2010-10-21,"TAS79"
912352184,14.28,2019-05-07,"TAS79"
912352183,14.28,2019-05-07,"TAS79"
912352182,14.28,2019-05-07,"TAS79"
912351658,17.29,2015-03-03,"TAS79"
912351657,17.44,2015-03-01,"TAS120"
912351281,11.59,2018-09-27,"TAS79"
912351280,11.59,2018-09-27,"TAS79"
912350914,11.06,2018-08-11,"TAS79"
912350087,18.45,2018-01-16,"TAS79"
912350083,18.45,2018-01-16,"TAS79"
912346926,18.16,2017-02-11,"TAS120"
912346923,18.16,2017-02-11,"TAS120"
912344577,12.62,2014-10-19,"TAS79"
912342716,18.18,2013-03-05,"NIN-S1"
912342715,18.18,2013-03-05,"NIN-S1"
912342714,18.18,2013-03-05,"NIN-S1"
912342713,18.18,2013-03-05,"NIN-S1"
912340294,14.08,2011-11-06,"TAS79"
812332104,17.37,2018-03-14,"NIN-S1"
812332103,17.37,2018-03-14,"NIN-S1"
812332102,17.37,2018-03-14,"NIN-S1"
812332101,17.37,2018-03-14,"NIN-S1"
812332034,18.07,2018-03-02,"TI-S1"
812332033,18.07,2018-03-02,"TI-S1"
812332032,18.07,2018-03-02,"TI-S1"
812332031,18.07,2018-03-02,"TI-S1"
812331644,17.34,2018-03-23,"TAS167"
812331643,17.34,2018-03-23,"TAS167"
812331642,17.34,2018-03-23,"TAS167"
812331641,17.34,2018-03-23,"TAS167"
812331634,16.94,2018-04-05,"MIR-S14"
812331633,16.94,2018-04-05,"MIR-S14"
812331632,16.94,2018-04-05,"MIR-S14"
812331631,16.94,2018-04-05,"MIR-S14"
812329184,17.8,2016-04-05,"MIR-S14"
812329183,17.8,2016-04-05,"MIR-S14"
812329182,17.8,2016-04-05,"MIR-S14"
812329181,17.8,2016-04-05,"MIR-S14"
812328764,14.57,2016-06-01,"BI-S3"
812328763,14.57,2016-06-01,"BI-S3"
812328762,14.57,2016-06-01,"BI-S3"
812328761,14.57,2016-06-01,"BI-S3"
812327984,17.32,2017-03-30,"MIR-S14"
812327983,17.32,2017-03-30,"MIR-S14"
812327982,17.32,2017-03-30,"MIR-S14"
812327981,17.32,2017-03-30,"MIR-S14"
812327874,15.25,2017-05-09,"BI-S3"
812327873,15.25,2017-05-09,"BI-S3"
812327872,15.25,2017-05-09,"BI-S3"
812327871,15.25,2017-05-09,"BI-S3"
812327804,17.62,2017-03-08,"NIN-S1"
812327803,17.62,2017-03-08,"NIN-S1"
812327802,17.62,2017-03-08,"NIN-S1"
812327801,17.62,2017-03-08,"NIN-S1"
812327794,18.49,2017-03-17,"TI-S1"
812327793,18.49,2017-03-17,"TI-S1"
812327792,18.49,2017-03-17,"TI-S1"
812327791,18.49,2017-03-17,"TI-S1"
812327564,17.56,2016-03-21,"NIN-S1"
812327563,17.56,2016-03-21,"NIN-S1"
812327562,17.56,2016-03-21,"NIN-S1"
812327561,17.56,2016-03-21,"NIN-S1"
812327534,18.22,2016-03-17,"TI-S1"
812327533,18.22,2016-03-17,"TI-S1"
812327532,18.22,2016-03-17,"TI-S1"
812327531,18.22,2016-03-17,"TI-S1"
812327014,15.34,2015-04-24,"MIR-S14"
812327013,15.34,2015-04-24,"MIR-S14"
812327012,15.34,2015-04-24,"MIR-S14"
812327011,15.34,2015-04-24,"MIR-S14"
812326524,12.58,2015-05-27,"NIN-S1"
812326523,12.58,2015-05-27,"NIN-S1"
812326522,12.58,2015-05-27,"NIN-S1"
812326521,12.58,2015-05-27,"NIN-S1"
812326513,12.58,2015-05-27,"NIN-S1"
812326512,12.58,2015-05-27,"NIN-S1"
812326424,12.11,2015-05-21,"TI-S1"
812326423,12.11,2015-05-21,"TI-S1"
812326422,12.11,2015-05-21,"TI-S1"
812326421,12.11,2015-05-21,"TI-S1"
812326413,12.11,2015-05-21,"TI-S1"
812326412,12.11,2015-05-21,"TI-S1"
812326364,16.54,2014-03-13,"NIN-S1"
812326363,16.54,2014-03-13,"NIN-S1"
812326362,16.54,2014-03-13,"NIN-S1"
812326361,16.54,2014-03-13,"NIN-S1"
812326324,17.17,2014-03-11,"TI-S1"
812326323,17.17,2014-03-11,"TI-S1"
812326322,17.17,2014-03-11,"TI-S1"
812326321,17.17,2014-03-11,"TI-S1"
812326314,14.78,2014-05-08,"MIR-S14"
812326313,14.78,2014-05-08,"MIR-S14"
812326312,14.78,2014-05-08,"MIR-S14"
812326311,14.78,2014-05-08,"MIR-S14"
812326204,16.04,2013-04-30,"BI-S3"
812326203,16.04,2013-04-30,"BI-S3"
812326202,16.04,2013-04-30,"BI-S3"
812326201,16.04,2013-04-30,"BI-S3"
812326094,16.81,2013-03-19,"NIN-S1"
812326093,16.81,2013-03-19,"NIN-S1"
812326092,16.81,2013-03-19,"NIN-S1"
812326091,16.81,2013-03-19,"NIN-S1"
812326054,17.06,2013-03-18,"TI-S1"
812326053,17.06,2013-03-18,"TI-S1"
812326052,17.06,2013-03-18,"TI-S1"
812326051,17.06,2013-03-18,"TI-S1"
812326024,17.12,2013-03-26,"MIR-S14"
812326023,17.12,2013-03-26,"MIR-S14"
812326022,17.12,2013-03-26,"MIR-S14"
812326021,17.12,2013-03-26,"MIR-S14"
812325024,16.92,2012-04-03,"MIR-S14"
812325023,16.92,2012-04-03,"MIR-S14"
812325022,16.92,2012-04-03,"MIR-S14"
812325021,16.92,2012-04-03,"MIR-S14"
812324904,16.47,2012-04-18,"BI-S3"
812324903,16.47,2012-04-18,"BI-S3"
812324902,16.47,2012-04-18,"BI-S3"
812324901,16.47,2012-04-18,"BI-S3"
812324654,18.04,2012-02-27,"TI-S1"
812324653,18.04,2012-02-27,"TI-S1"
812324652,18.04,2012-02-27,"TI-S1"
812324651,18.04,2012-02-27,"TI-S1"
812324624,16.69,2012-03-07,"NIN-S1"
812324623,16.69,2012-03-07,"NIN-S1"
812324622,16.69,2012-03-07,"NIN-S1"
812324621,16.69,2012-03-07,"NIN-S1"
812323774,16.85,2011-03-03,"BI-S3"
812323773,16.85,2011-03-03,"BI-S3"
812323772,16.85,2011-03-03,"BI-S3"
812323771,16.85,2011-03-03,"BI-S3"
812323694,14.1,2011-05-03,"NIN-S1"
812323693,14.1,2011-05-03,"NIN-S1"
812323692,14.1,2011-05-03,"NIN-S1"
812323691,14.1,2011-05-03,"NIN-S1"
812323644,15.98,2011-02-23,"TI-S1"
812323643,15.98,2011-02-23,"TI-S1"
812323642,15.98,2011-02-23,"TI-S1"
812323641,15.98,2011-02-23,"TI-S1"
812323614,16.71,2011-02-25,"MIR-S14"
812323613,16.71,2011-02-25,"MIR-S14"
812323612,16.71,2011-02-25,"MIR-S14"
812323611,16.71,2011-02-25,"MIR-S14"
812323454,15.62,2010-04-22,"NIN-S1"
812323453,15.62,2010-04-22,"NIN-S1"
812323452,15.62,2010-04-22,"NIN-S1"
812323451,15.62,2010-04-22,"NIN-S1"
812323414,15.66,2010-04-14,"TI-S1"
812323413,15.66,2010-04-14,"TI-S1"
812323412,15.66,2010-04-14,"TI-S1"
812323411,15.66,2010-04-14,"TI-S1"
812323394,16.36,2010-04-27,"MIR-S14"
812323393,16.36,2010-04-27,"MIR-S14"
812323392,16.36,2010-04-27,"MIR-S14"
812323391,16.36,2010-04-27,"MIR-S14"
812322554,15.48,2009-04-01,"NIN-S1"
812322553,15.48,2009-04-01,"NIN-S1"
812322552,15.48,2009-04-01,"NIN-S1"
812322551,15.48,2009-04-01,"NIN-S1"
