,date,Location,Site,Depth,Temp,Temp.sd,Temp.mean,mean_climatology,sd_climatology
,,,,,,,,,
,,,,,,,,,
1,29/10/2023,Fortescue,F1,10,12.81,0.037323498,12.7826087,13.17285685,0.788212798
,,,,,,,,,
,,,,,,,,,
2,30/10/2023,Fortescue,F1,10,13.19,0.150889618,12.72,13.15142828,0.813230731
,,,,,,,,,
,,,,,,,,,
3,31/10/2023,Fortescue,F1,10,12.88,0.095850085,12.67965909,13.11285685,0.87168544
,,,,,,,,,
,,,,,,,,,
4,1/11/2023,Fortescue,F1,10,13.13,0.177318523,12.7316,13.0852378,0.888380908
,,,,,,,,,
,,,,,,,,,
5,2/11/2023,Fortescue,F1,10,13.13,0.153664632,12.69910112,13.21428542,0.853489641
,,,,,,,,,
,,,,,,,,,
6,3/11/2023,Fortescue,F1,10,12.75,0.086229433,12.6122,13.3002378,0.808580455
,,,,,,,,,
,,,,,,,,,
7,4/11/2023,Fortescue,F1,10,12.75,0.066616951,12.6084,13.35380923,0.826210704
,,,,,,,,,
,,,,,,,,,
8,5/11/2023,Fortescue,F1,10,13.13,0.128005642,12.87314607,13.43166637,0.87034871
,,,,,,,,,
,,,,,,,,,
9,6/11/2023,Fortescue,F1,10,13.19,0.104065393,13.0237,13.47666637,0.854850322
,,,,,,,,,
,,,,,,,,,
10,7/11/2023,Fortescue,F1,10,13.19,0.200298036,12.9717,13.4897616,0.88873569
,,,,,,,,,
,,,,,,,,,
11,8/11/2023,Fortescue,F1,10,13.5,0.2245865,13.17292135,13.4999997,0.911139711
,,,,,,,,,
,,,,,,,,,
12,9/11/2023,Fortescue,F1,10,13.75,0.292684475,13.2938,13.48738065,0.865346547
,,,,,,,,,
,,,,,,,,,
13,10/11/2023,Fortescue,F1,10,14.06,0.298882954,13.5323,13.54047589,0.856669517
,,,,,,,,,
,,,,,,,,,
14,11/11/2023,Fortescue,F1,10,13.81,0.234252936,13.17775281,13.5899997,0.881243558
,,,,,,,,,
,,,,,,,,,
15,12/11/2023,Fortescue,F1,10,13.44,0.06880473,13.2965,13.63619017,0.869521723
,,,,,,,,,
,,,,,,,,,
16,13/11/2023,Fortescue,F1,10,14,0.176243937,13.65640449,13.66999969,0.85554716
,,,,,,,,,
,,,,,,,,,
17,14/11/2023,Fortescue,F1,10,13.94,0.112245222,13.743,13.71547588,0.848793105
,,,,,,,,,
,,,,,,,,,
18,15/11/2023,Fortescue,F1,10,13.81,0.078823354,13.7251,13.77857112,0.901639601
,,,,,,,,,
,,,,,,,,,
19,16/11/2023,Fortescue,F1,10,13.88,0.186581047,13.57988764,13.77809493,0.89629925
,,,,,,,,,
,,,,,,,,,
20,17/11/2023,Fortescue,F1,10,13.75,0.083017036,13.4653,13.81166636,0.883388458
,,,,,,,,,
,,,,,,,,,
21,18/11/2023,Fortescue,F1,10,13.88,0.140643363,13.6425,13.83595207,0.949916688
,,,,,,,,,
,,,,,,,,,
22,19/11/2023,Fortescue,F1,10,13.81,0.096690644,13.62314607,13.86999969,0.988457757
,,,,,,,,,
,,,,,,,,,
23,20/11/2023,Fortescue,F1,10,14.5,0.272122429,13.9317,13.87809493,0.953064965
,,,,,,,,,
,,,,,,,,,
