ID,CURRENT_SPECIES_NAME,CURRENT_TAXONOMIC_NAME,Family,Class,thermal guild,a,b,CF,SGFGu,Range,Frequency,Abundance,MaxLength,Trophic Level,Trophic group,Trophic group2,Water column,Diel Activity,Habitat,Min depth ,Max depth ,Mean depth,IUCN,Introduced,ThermalMP_5_95,ThermalMP_5min_95max,Thermal_95thmax,TNConfidence,SGI,SGI conf
,Abudefduf conformis,Abudefduf conformis,Pomacentridae,Actinopterygii,tropical,,,,,29,100,46,13.1,2.8,Planktivore,Planktivore,Demersal,Day,coral,0,12,,NA,No,28.3972,28.8402,31.67015,1,,
,Abudefduf luridus,Abudefduf luridus,Pomacentridae,Actinopterygii,temperate,,,,,116,100,62,15,3.5,Planktivore,Planktivore,Demersal,Day,rock,0,25,,NA,No,21.59,21.44195,24.585,2,23.1698417,1
,Acanthocybium solandri,Acanthocybium solandri,Scombridae,Actinopterygii,tropical,,,,,10,100,1,250,4.3,Higher carnivore,Higher carnivore,pelagic non-site attached,Day,water column,,,,LC,No,,,,,,
,Acanthopagrus butcheri,Acanthopagrus butcheri,Sparidae,Actinopterygii,temperate,,,,,10,100,2,60,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,0,15,,NA,No,16.474,16.311525,21.51735,1,,
,Acanthopagrus palmaris,Acanthopagrus palmaris,Sparidae,Actinopterygii,tropical,,,,,10,100,1,40,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,,,,NA,No,29.509,28.75,32.101,1,,
,Acanthurus gahhm,Acanthurus gahhm,Acanthuridae,Actinopterygii,tropical,,,,,10,100,1,40,2.8,Browsing herbivore,Herbivore,Demersal,Day,coral,1,40,,LC,No,26.867,27.117,30.78,1,,
,Acanthurus tractus,Acanthurus tractus,Acanthuridae,Actinopterygii,tropical,,,,,10,100,9,,,Browsing herbivore,Herbivore,benthic,Day,coral,,,,,,,,,,22.4816737,1
,Acmaea mitra,Acmaea mitra,Acmaeidae,Gastropoda,temperate,,,,,10,100,4,3.5,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,10.611,10.975,16.683,1,,
,Acrosterigma elongata,Acrosterigma elongata,Cardiidae,Bivalvia,temperate,,,,,10,100,1,,,Planktivore,Planktivore,benthic,,sand,,,,NA,No,21.619,22.121,28.166,1,,
,Aegires gardineri,Aegires gardineri,Aegiridae,Gastropoda,tropical,,,,,10,100,1,10,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,NA,No,26.69,26.66,29.806,1,,
,Aegires minor,Aegires minor,Aegiridae,Gastropoda,tropical,,,,,10,100,1,9,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,NA,No,26.834,26.9235,29.815,1,,
,Afurcagobius tamarensis,Afurcagobius tamarensis,Gobiidae,Actinopterygii,temperate,,,,,10,100,29,11,3.3,Benthic invertivore,Benthic invertivore,benthic,Day,sand,,,,NA,No,16.0335,16.1155,21.221,1,,
,Aldrichetta forsteri,Aldrichetta forsteri,Mugilidae,Actinopterygii,temperate,,,,,10,100,200,50,2.5,Browsing herbivore,Herbivore,pelagic non-site attached,Day,sand,0,20,,NA,No,14.95245,14.8471,20.0692,1,,
,Alectis indica,Alectis indicus,Carangidae,Actinopterygii,tropical,,,,,10,100,1,165,,Higher carnivore,Higher carnivore,benthic,Day,sand,,,,,,,,,,,
,Allogalathea elegans,Allogalathea elegans,Galatheidae,Malacostraca,temperate,,,,,10,100,1,2,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,,,,,,
,Alphestes multiguttatus,Alphestes multiguttatus,Serranidae,Actinopterygii,tropical,,,,,10,100,1,30,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,,,,LC,No,29.302,29.1195,30.245,1,,
,Alpheus astrinx,Alpheus astrinx,Alpheidae,Malacostraca,temperate,,,,,10,100,1,4.3,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,,,,,,
,Alpheus euphrosyne,Alpheus euphrosyne,Alpheidae,Malacostraca,temperate,,,,,10,100,1,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,,,,,,
,Alpheus immaculatus,Alpheus immaculatus,Alpheidae,Malacostraca,tropical,,,,,10,100,2,,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,,,,,,,,
,Amblyeleotris sungami,Amblyeleotris sungami,Gobiidae,Actinopterygii,tropical,,,,,10,100,2,10,,Browsing herbivore,Herbivore,benthic,Day,sand,,,,,,24.27,24.842275,28.62175,1,,
,Amblyglyphidodon orbicularis,Amblyglyphidodon orbicularis,Pomacentridae,Actinopterygii,tropical,,,,,60,100,6,8.3,2.7,Browsing herbivore,Herbivore,Demersal,Day,coral,,,,NA,No,29.2242,29.0864,30.292,1,,
,Amblygobius buanensis,Amblygobius buanensis,Gobiidae,Actinopterygii,tropical,,,,,10,100,2,8,,Browsing herbivore,Herbivore,benthic,Day,sand,,,,,,30.291125,29.916125,31.176,1,,
,Amblygobius semicinctus,Amblygobius semicinctus,Gobiidae,Actinopterygii,tropical,,,,,10,100,3,11,2.7,Omnivore,Herbivore,benthic,Day,sand,4,10,,NA,No,26.8005,26.817575,29.8625,1,,
,Amphiprion allardi,Amphiprion allardi,Pomacentridae,Actinopterygii,tropical,,,,,11,100,2,15,2.7,Omnivore,Herbivore,Demersal,Day,coral,1,30,,NA,No,27.873375,28.55425,32.821,1,,
,Amphiprion leucokranos,Amphiprion leucokranos,Pomacentridae,Actinopterygii,tropical,,,,,10,100,1,9,2.7,Browsing herbivore,Herbivore,Demersal,Day,coral,2,12,,NA,No,29.943,29.521025,31.50985,1,,
,Anampses cuvier,Anampses cuvier,Labridae,Actinopterygii,tropical,,,,,10,100,1,31,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,2,26,,LC,No,25.661,25.752,27.015,1,,
,Anarchias seychellensis,Anarchias seychellensis,Muraenidae,Actinopterygii,tropical,,,,,10,100,1,29,,Higher carnivore,Higher carnivore,benthic,Night,coral,,,,,,,,,,,
,Anchitosia queenslandensis,Anchitosia queenslandensis,Goniasteridae,Asteroidea,tropical,,,,,10,100,1,8,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,NA,No,26.9,26.9925,29.867,1,,
,Ancula sp. [gibbosa],Ancula spp.,Goniodorididae,Gastropoda,temperate,,,,,10,100,1,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,,,,,,
