temp,date,time,site,latitude,longitude
13.36,2022-11-02,,Fortescue,-43.1299795663956,147.960171571816
13.34,2022-11-03,,Fortescue,-43.1299795663956,147.960171571816
13.45,2022-11-04,,Fortescue,-43.1299795663956,147.960171571816
13.64,2022-11-05,,Fortescue,-43.1299795663956,147.960171571816
13.93,2022-11-06,,Fortescue,-43.1299795663956,147.960171571816
14.1,2022-11-07,,Fortescue,-43.1299795663956,147.960171571816
14.67,2022-11-08,,Fortescue,-43.1299795663956,147.960171571816
14.43,2022-11-09,,Fortescue,-43.1299795663956,147.960171571816
14.2,2022-11-10,,Fortescue,-43.1299795663956,147.960171571816
14.12,2022-11-11,,Fortescue,-43.1299795663956,147.960171571816
14.25,2022-11-12,,Fortescue,-43.1299795663956,147.960171571816
14.01,2022-11-13,,Fortescue,-43.1299795663956,147.960171571816
14.09,2022-11-14,,Fortescue,-43.1299795663956,147.960171571816
14.09,2022-11-15,,Fortescue,-43.1299795663956,147.960171571816
13.97,2022-11-16,,Fortescue,-43.1299795663956,147.960171571816
13.94,2022-11-17,,Fortescue,-43.1299795663956,147.960171571816
13.91,2022-11-18,,Fortescue,-43.1299795663956,147.960171571816
14.12,2022-11-19,,Fortescue,-43.1299795663956,147.960171571816
14,2022-11-20,,Fortescue,-43.1299795663956,147.960171571816
13.87,2022-11-21,,Fortescue,-43.1299795663956,147.960171571816
13.68,2022-11-22,,Fortescue,-43.1299795663956,147.960171571816
13.7,2022-11-23,,Fortescue,-43.1299795663956,147.960171571816
13.56,2022-11-24,,Fortescue,-43.1299795663956,147.960171571816
13.29,2022-11-25,,Fortescue,-43.1299795663956,147.960171571816
13.79,2022-11-26,,Fortescue,-43.1299795663956,147.960171571816
13.65,2022-11-27,,Fortescue,-43.1299795663956,147.960171571816
13.59,2022-11-28,,Fortescue,-43.1299795663956,147.960171571816
13.67,2022-11-29,,Fortescue,-43.1299795663956,147.960171571816
13.76,2022-11-30,,Fortescue,-43.1299795663956,147.960171571816
13.94,2022-12-01,,Fortescue,-43.1299795663956,147.960171571816
13.94,2022-12-02,,Fortescue,-43.1299795663956,147.960171571816
13.92,2022-12-03,,Fortescue,-43.1299795663956,147.960171571816
14.03,2022-12-04,,Fortescue,-43.1299795663956,147.960171571816
13.92,2022-12-05,,Fortescue,-43.1299795663956,147.960171571816
14.23,2022-12-06,,Fortescue,-43.1299795663956,147.960171571816
14.23,2022-12-07,,Fortescue,-43.1299795663956,147.960171571816
14.09,2022-12-08,,Fortescue,-43.1299795663956,147.960171571816
14.15,2022-12-09,,Fortescue,-43.1299795663956,147.960171571816
14.26,2022-12-10,,Fortescue,-43.1299795663956,147.960171571816
14.35,2022-12-11,,Fortescue,-43.1299795663956,147.960171571816
14.25,2022-12-12,,Fortescue,-43.1299795663956,147.960171571816
14.4,2022-12-13,,Fortescue,-43.1299795663956,147.960171571816
14.54,2022-12-14,,Fortescue,-43.1299795663956,147.960171571816
14.61,2022-12-15,,Fortescue,-43.1299795663956,147.960171571816
14.86,2022-12-16,,Fortescue,-43.1299795663956,147.960171571816
14.82,2022-12-17,,Fortescue,-43.1299795663956,147.960171571816
15.2,2022-12-18,,Fortescue,-43.1299795663956,147.960171571816
15.32,2022-12-19,,Fortescue,-43.1299795663956,147.960171571816
15.39,2022-12-20,,Fortescue,-43.1299795663956,147.960171571816
15.41,2022-12-21,,Fortescue,-43.1299795663956,147.960171571816
15.28,2022-12-22,,Fortescue,-43.1299795663956,147.960171571816
15.14,2022-12-23,,Fortescue,-43.1299795663956,147.960171571816
15.45,2022-12-24,,Fortescue,-43.1299795663956,147.960171571816
15.91,2022-12-25,,Fortescue,-43.1299795663956,147.960171571816
15.62,2022-12-26,,Fortescue,-43.1299795663956,147.960171571816
15.92,2022-12-27,,Fortescue,-43.1299795663956,147.960171571816
15.91,2022-12-28,,Fortescue,-43.1299795663956,147.960171571816
15.62,2022-12-29,,Fortescue,-43.1299795663956,147.960171571816
16.11,2022-12-30,,Fortescue,-43.1299795663956,147.960171571816
16.08,2022-12-31,,Fortescue,-43.1299795663956,147.960171571816
16.14,2023-01-01,,Fortescue,-43.1299795663956,147.960171571816
16.12,2023-01-02,,Fortescue,-43.1299795663956,147.960171571816
16.05,2023-01-03,,Fortescue,-43.1299795663956,147.960171571816
16.29,2023-01-04,,Fortescue,-43.1299795663956,147.960171571816
16.24,2023-01-05,,Fortescue,-43.1299795663956,147.960171571816
15.95,2023-01-06,,Fortescue,-43.1299795663956,147.960171571816
16.09,2023-01-07,,Fortescue,-43.1299795663956,147.960171571816
16.18,2023-01-08,,Fortescue,-43.1299795663956,147.960171571816
16.14,2023-01-09,,Fortescue,-43.1299795663956,147.960171571816
16.68,2023-01-10,,Fortescue,-43.1299795663956,147.960171571816
16.75,2023-01-11,,Fortescue,-43.1299795663956,147.960171571816
17.15,2023-01-12,,Fortescue,-43.1299795663956,147.960171571816
17.37,2023-01-13,,Fortescue,-43.1299795663956,147.960171571816
17.06,2023-01-14,,Fortescue,-43.1299795663956,147.960171571816
16.7,2023-01-15,,Fortescue,-43.1299795663956,147.960171571816
16.4,2023-01-16,,Fortescue,-43.1299795663956,147.960171571816
16.47,2023-01-17,,Fortescue,-43.1299795663956,147.960171571816
16.04,2023-01-18,,Fortescue,-43.1299795663956,147.960171571816
16.28,2023-01-19,,Fortescue,-43.1299795663956,147.960171571816
16.64,2023-01-20,,Fortescue,-43.1299795663956,147.960171571816
16.61,2023-01-21,,Fortescue,-43.1299795663956,147.960171571816
17,2023-01-22,,Fortescue,-43.1299795663956,147.960171571816
17.21,2023-01-23,,Fortescue,-43.1299795663956,147.960171571816
17.35,2023-01-24,,Fortescue,-43.1299795663956,147.960171571816
17.6,2023-01-25,,Fortescue,-43.1299795663956,147.960171571816
17.66,2023-01-26,,Fortescue,-43.1299795663956,147.960171571816
17.41,2023-01-27,,Fortescue,-43.1299795663956,147.960171571816
17.09,2023-01-28,,Fortescue,-43.1299795663956,147.960171571816
17.13,2023-01-29,,Fortescue,-43.1299795663956,147.960171571816
17.19,2023-01-30,,Fortescue,-43.1299795663956,147.960171571816
17.61,2023-01-31,,Fortescue,-43.1299795663956,147.960171571816
17.26,2023-02-01,,Fortescue,-43.1299795663956,147.960171571816
17.32,2023-02-02,,Fortescue,-43.1299795663956,147.960171571816
17.12,2023-02-03,,Fortescue,-43.1299795663956,147.960171571816
17.1,2023-02-04,,Fortescue,-43.1299795663956,147.960171571816
16.97,2023-02-05,,Fortescue,-43.1299795663956,147.960171571816
17.11,2023-02-06,,Fortescue,-43.1299795663956,147.960171571816
16.96,2023-02-07,,Fortescue,-43.1299795663956,147.960171571816
16.95,2023-02-08,,Fortescue,-43.1299795663956,147.960171571816
16.98,2023-02-09,,Fortescue,-43.1299795663956,147.960171571816
17.2,2023-02-10,,Fortescue,-43.1299795663956,147.960171571816
17.94,2023-02-11,,Fortescue,-43.1299795663956,147.960171571816
17.95,2023-02-12,,Fortescue,-43.1299795663956,147.960171571816
17.85,2023-02-13,,Fortescue,-43.1299795663956,147.960171571816
18.13,2023-02-14,,Fortescue,-43.1299795663956,147.960171571816
18.12,2023-02-15,,Fortescue,-43.1299795663956,147.960171571816
18.28,2023-02-16,,Fortescue,-43.1299795663956,147.960171571816
18.09,2023-02-17,,Fortescue,-43.1299795663956,147.960171571816
18.14,2023-02-18,,Fortescue,-43.1299795663956,147.960171571816
18.03,2023-02-19,,Fortescue,-43.1299795663956,147.960171571816
17.97,2023-02-20,,Fortescue,-43.1299795663956,147.960171571816
17.9,2023-02-21,,Fortescue,-43.1299795663956,147.960171571816
18.05,2023-02-22,,Fortescue,-43.1299795663956,147.960171571816
17.92,2023-02-23,,Fortescue,-43.1299795663956,147.960171571816
17.76,2023-02-24,,Fortescue,-43.1299795663956,147.960171571816
17.62,2023-02-25,,Fortescue,-43.1299795663956,147.960171571816
17.63,2023-02-26,,Fortescue,-43.1299795663956,147.960171571816
17.63,2023-02-27,,Fortescue,-43.1299795663956,147.960171571816
17.81,2023-02-28,,Fortescue,-43.1299795663956,147.960171571816
17.97,2023-03-01,,Fortescue,-43.1299795663956,147.960171571816
17.78,2023-03-02,,Fortescue,-43.1299795663956,147.960171571816
17.6,2023-03-03,,Fortescue,-43.1299795663956,147.960171571816
