ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12:00,,,"0, 1, 2","0, 1, 2",,2,3,40331,14902,1,2,3,4,5,6,8,10,12,14,16,20,25,30,35,40,45,50,55,60,65,70,75,80,100,120,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,1,pla,Pictilabrus laticlavius,Senator wrasse,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,1,nfu,Notolabrus fucicola,Purple wrasse,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,1,nte,Notolabrus tetricus,Blue-throat wrasse,2,0,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,1,hac,Heteroscarus acroptilus,Rainbow cale,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,1,mce,Mugil cephalus,Sea mullet,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,1,mau,Meuschenia australis,Brown-striped leatherjacket,3,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,1,ctr,Cenolia trichoptera,Feather star,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,1,tun,Turbo undulatus,Turban shell,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,1,hab,Hippocampus abdominalis,Big-bellied seahorse,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
